PDBId,FileName,gz,cif,Comment
1a6m,1a6m.cif.gz,true,true,1a100rxray.txt
1bxo,1bxo.cif.gz,true,true,1a100rxray.txt
1byi,1byi.cif.gz,true,true,1a100rxray.txt
1c7k,1c7k.cif.gz,true,true,1a100rxray.txt
1cex,1cex.cif.gz,true,true,1a100rxray.txt
1dy5,1dy5.cif.gz,true,true,1a100rxray.txt
1ea7,1ea7.cif.gz,true,true,1a100rxray.txt
1eb6,1eb6.cif.gz,true,true,1a100rxray.txt
1eic,1eic.cif.gz,true,true,1a100rxray.txt
1eie,1eie.cif.gz,true,true,1a100rxray.txt
1exr,1exr.cif.gz,true,true,1a100rxray.txt
1fn8,1fn8.cif.gz,true,true,1a100rxray.txt
1fy4,1fy4.cif.gz,true,true,1a100rxray.txt
1fy5,1fy5.cif.gz,true,true,1a100rxray.txt
1g2y,1g2y.cif.gz,true,true,1a100rxray.txt
1g4i,1g4i.cif.gz,true,true,1a100rxray.txt
1g66,1g66.cif.gz,true,true,1a100rxray.txt
1ga6,1ga6.cif.gz,true,true,1a100rxray.txt
1gci,1gci.cif.gz,true,true,1a100rxray.txt
1gdn,1gdn.cif.gz,true,true,1a100rxray.txt
1gdq,1gdq.cif.gz,true,true,1a100rxray.txt
1gkm,1gkm.cif.gz,true,true,1a100rxray.txt
1gqv,1gqv.cif.gz,true,true,1a100rxray.txt
1gvk,1gvk.cif.gz,true,true,1a100rxray.txt
1gvt,1gvt.cif.gz,true,true,1a100rxray.txt
1gvu,1gvu.cif.gz,true,true,1a100rxray.txt
1gvw,1gvw.cif.gz,true,true,1a100rxray.txt
1gvx,1gvx.cif.gz,true,true,1a100rxray.txt
1gwe,1gwe.cif.gz,true,true,1a100rxray.txt
1hj8,1hj8.cif.gz,true,true,1a100rxray.txt
1hj9,1hj9.cif.gz,true,true,1a100rxray.txt
1i1w,1i1w.cif.gz,true,true,1a100rxray.txt
1ic6,1ic6.cif.gz,true,true,1a100rxray.txt
1iee,1iee.cif.gz,true,true,1a100rxray.txt
1is9,1is9.cif.gz,true,true,1a100rxray.txt
1ix9,1ix9.cif.gz,true,true,1a100rxray.txt
1ixb,1ixb.cif.gz,true,true,1a100rxray.txt
1ixh,1ixh.cif.gz,true,true,1a100rxray.txt
1j0p,1j0p.cif.gz,true,true,1a100rxray.txt
1jfb,1jfb.cif.gz,true,true,1a100rxray.txt
1jfc,1jfc.cif.gz,true,true,1a100rxray.txt
1k2a,1k2a.cif.gz,true,true,1a100rxray.txt
1k4i,1k4i.cif.gz,true,true,1a100rxray.txt
1k4p,1k4p.cif.gz,true,true,1a100rxray.txt
1k5c,1k5c.cif.gz,true,true,1a100rxray.txt
1kcc,1kcc.cif.gz,true,true,1a100rxray.txt
1koi,1koi.cif.gz,true,true,1a100rxray.txt
1lkk,1lkk.cif.gz,true,true,1a100rxray.txt
